symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
C,BUY,LIMIT,IOC,1784,0.4871000,0.4799954,FILLED,1176,1784,1752834128483,868.9864
ERA,SELL,LIMIT,IOC,437,1.4524000,1.4651000,FILLED,437,437,1752834128548,634.6988
TRB,SELL,LIMIT,IOC,49.8,44.496,44.885,FILLED,0.1,49.8,1752834128560,2215.9008
TAC,BUY,LIMIT,IOC,5357,0.0204500,0.0201700,FILLED,5357,5357,1752834128610,109.55064999999999
HAEDAL,BUY,LIMIT,IOC,1236,0.2101550,0.2068977,FILLED,6,1236,1752834128688,259.75158
MKR,SELL,LIMIT,IOC,0.140,2068.90,2079.77,FILLED,0.038,0.140,1752834129568,289.646
CROSS,BUY,LIMIT,IOC,3916,0.2864400,0.2824925,FILLED,2256,3916,1752834131128,1121.69904
C,BUY,LIMIT,IOC,3177,0.4874300,0.4806548,FILLED,547,3177,1752834132587,1548.56511
CROSS,BUY,LIMIT,IOC,305,0.2871900,0.2837700,FILLED,85,305,1752834135112,87.59295
LDO,SELL,LIMIT,IOC,2096,1.068200,1.074700,FILLED,488,2096,1752834136466,2238.9472
CROSS,BUY,LIMIT,IOC,23,0.2878600,0.2843800,FILLED,23,23,1752834136489,6.62078
C,SELL,LIMIT,IOC,200,0.4705500,0.4750100,FILLED,200,200,1752834137200,94.11
C,SELL,LIMIT,IOC,14,0.4695188,0.4718300,FILLED,14,14,1752834138902,6.5732632
C,SELL,LIMIT,IOC,847,0.4671700,0.4713827,FILLED,731,847,1752834140048,395.69298999999995
LTC,SELL,LIMIT,IOC,10.000,108.50,109.02,FILLED,8.465,10.000,1752834140361,1085.0
TAC,SELL,LIMIT,IOC,87592,0.0195800,0.0198300,FILLED,87592,87592,1752834151234,1715.05136
C,SELL,LIMIT,IOC,392,0.4648300,0.4718000,FILLED,180,392,1752834152056,182.21336
AVAAI,SELL,LIMIT,IOC,13659,0.0418600,0.0465732,FILLED,6239,13659,1752834153084,571.76574
PUMP,BUY,LIMIT,IOC,2171348,0.0047670,0.0047253,FILLED,139674,2171348,1752834157117,10350.815916000001
C,BUY,LIMIT,IOC,493,0.4829600,0.4773446,FILLED,11,493,1752834158506,238.09928
C,SELL,LIMIT,IOC,168,0.4674000,0.4744000,FILLED,168,168,1752834163436,78.5232
FARTCOIN,SELL,LIMIT,IOC,241.5,1.4277000,1.4417000,FILLED,74.1,241.5,1752834176476,344.78955
C,BUY,LIMIT,IOC,315,0.4839000,0.4784849,FILLED,50,315,1752834177084,152.42849999999999
AVAAI,SELL,LIMIT,IOC,19220,0.0418400,0.0465141,FILLED,4083,19220,1752834183464,804.1648
TAC,BUY,LIMIT,IOC,387,0.0205400,0.0202500,FILLED,387,387,1752834186241,7.94898
M,BUY,LIMIT,IOC,233,0.3586000,0.3540000,FILLED,233,233,1752834190306,83.5538
TAC,BUY,LIMIT,IOC,75202,0.0206200,0.0203693,FILLED,4053,75202,1752834194082,1550.66524
TAC,BUY,LIMIT,IOC,50000,0.0206800,0.0206000,FILLED,40629,50000,1752834198351,1034.0
TAC,BUY,LIMIT,IOC,15276,0.0207700,0.0205600,FILLED,5908,15276,1752834199455,317.28252
BANANAS31,SELL,LIMIT,IOC,48355,0.0073150,0.0073763,FILLED,31409,48355,1752834199455,353.71682500000003
TAC,BUY,LIMIT,IOC,77689,0.0208700,0.0206880,FILLED,7715,77689,1752834203368,1621.36943
POLYX,BUY,LIMIT,IOC,33,0.1631700,0.1608800,FILLED,33,33,1752834203368,5.38461
1000CHEEMS,SELL,LIMIT,IOC,3190,0.0015009,0.0015160,FILLED,3190,3190,1752834203368,4.787871
FORTH,BUY,LIMIT,IOC,1.9,2.748000,2.710000,FILLED,1.9,1.9,1752834203368,5.2212000000000005
C,SELL,LIMIT,IOC,15,0.4644300,0.4711800,FILLED,15,15,1752834204323,6.96645
FXS,BUY,LIMIT,IOC,680.0,3.489300,3.455805,FILLED,1.8,680.0,1752834212444,2372.724
TAC,BUY,LIMIT,IOC,49898,0.0209300,0.0207079,FILLED,2857,49898,1752834215068,1044.36514
TAC,BUY,LIMIT,IOC,22639,0.0209700,0.0207500,FILLED,20570,22639,1752834219406,474.73983
TAC,BUY,LIMIT,IOC,8501,0.0210100,0.0208500,FILLED,2884,8501,1752834222192,178.60601
TAC,BUY,LIMIT,IOC,1101,0.0211100,0.0208700,FILLED,1101,1101,1752834223277,23.24211
FARTCOIN,BUY,LIMIT,IOC,338.3,1.4623000,1.4495000,FILLED,72.1,338.3,1752834226371,494.69608999999997
TAC,BUY,LIMIT,IOC,120366,0.0211500,0.0208935,FILLED,9431,120366,1752834229476,2545.7409
TAC,BUY,LIMIT,IOC,536,0.0211700,0.0208900,FILLED,536,536,1752834230624,11.34712
TAC,BUY,LIMIT,IOC,3491,0.0211900,0.0209100,FILLED,1272,3491,1752834233258,73.97429
ERA,BUY,LIMIT,IOC,20,1.4798000,1.4669000,FILLED,20,20,1752834233258,29.596
LUNA2,BUY,LIMIT,IOC,1041,0.1838000,0.1814000,FILLED,1041,1041,1752834233258,191.33579999999998
SANTOS,BUY,LIMIT,IOC,2.6,2.4260000,2.4020000,FILLED,2.6,2.6,1752834243334,6.307600000000001
C,BUY,LIMIT,IOC,5285,0.4818200,0.4779575,FILLED,374,5285,1752834244323,2546.4187
TAC,SELL,LIMIT,IOC,50148,0.0203500,0.0206000,FILLED,26373,50148,1752834244498,1020.5118
C,BUY,LIMIT,IOC,40,0.4838600,0.4760300,FILLED,40,40,1752834245576,19.354400000000002
FARTCOIN,BUY,LIMIT,IOC,68.9,1.4661000,1.4506000,FILLED,68.9,68.9,1752834245713,101.01429
PUMP,SELL,LIMIT,IOC,93876,0.0046390,0.0046840,FILLED,93876,93876,1752834247561,435.490764
C,BUY,LIMIT,IOC,1200,0.4843700,0.4778952,FILLED,616,1200,1752834248410,581.244
FXS,BUY,LIMIT,IOC,15.0,3.490300,3.458000,FILLED,15.0,15.0,1752834249254,52.3545
KAITO,BUY,LIMIT,IOC,3.5,1.704500,1.688400,FILLED,0.2,3.5,1752834250123,5.96575
ETHFI,BUY,LIMIT,IOC,81.7,1.3451000,1.3321000,FILLED,81.7,81.7,1752834250241,109.89467
HAEDAL,BUY,LIMIT,IOC,262,0.2110630,0.2082314,FILLED,84,262,1752834253048,55.298506
TRUMP,BUY,LIMIT,IOC,20.25,10.465000,10.365000,FILLED,20.25,20.25,1752834255393,211.91625
FXS,BUY,LIMIT,IOC,3.7,3.491800,3.463600,FILLED,3.7,3.7,1752834255409,12.91966
SANTOS,BUY,LIMIT,IOC,2.8,2.4540000,2.4120000,FILLED,0.5,2.8,1752834256111,6.8712
HYPER,BUY,LIMIT,IOC,15,0.3718000,0.3683000,FILLED,15,15,1752834256612,5.577
